time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000020, 0.003818738505, 0.00391709292, 0.00372038409, 0.0114541999, 0.0117471684, 0.0111612314
0.000020, 0.003898394645, 0.0040454031, 0.00375138619, 0.0116910851, 0.0121289073, 0.0112532629
0.000020, 0.0038460721250000002, 0.00396102341, 0.00373112084, 0.011535109, 0.0118772611, 0.0111929569
0.000020, 0.00389850291, 0.00404162426, 0.00375538156, 0.011690957, 0.0121172182, 0.0112646958
0.000020, 0.00384436769, 0.00396135263, 0.00372738275, 0.01152980095, 0.0118781263, 0.0111814756
0.000020, 0.0038666237349999997, 0.00399197591, 0.00374127156, 0.01159670065, 0.0119698141, 0.0112235872
0.000020, 0.0038752140249999996, 0.00400884543, 0.00374158262, 0.0116230012, 0.0120207397, 0.0112252627
0.000020, 0.003896011385, 0.00403988361, 0.00375213916, 0.01168491555, 0.0121136159, 0.0112562152
0.000020, 0.00384958717, 0.00395987788, 0.00373929646, 0.01154535825, 0.0118737454, 0.0112169711
0.000020, 0.003880397535, 0.00401929813, 0.00374149694, 0.0116373943, 0.0120508317, 0.0112239569
