time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000900, 0.018299239769565216, 0.0183982402, 0.0182225499, 0.054901384304347836, 0.0552036092, 0.0546740852
0.000900, 0.019542870678260868, 0.0210958086, 0.0192429572, 0.05867724938913042, 0.0634717867, 0.0577683337
0.000900, 0.018824444073913045, 0.0189213697, 0.0187154301, 0.056480917195652174, 0.05675992, 0.0561571196
0.000920, 0.018530293872340422, 0.0185723752, 0.018492816, 0.05558775436595745, 0.0557149798, 0.0554759949
0.000920, 0.018662491182978726, 0.018717654, 0.0186154395, 0.055991380378723414, 0.0561568178, 0.0558521226
0.000900, 0.020203046132608697, 0.0202829447, 0.020139087, 0.060605168097826095, 0.0608428121, 0.0604159646
0.000920, 0.014739918887234044, 0.0148817664, 0.0142385466, 0.044212289389361704, 0.0446465313, 0.0426903777
0.000900, 0.019083193743478267, 0.0191448554, 0.0190510657, 0.05725237589130433, 0.0574359521, 0.0571564026
0.000920, 0.022175104412765954, 0.027976172, 0.0201586392, 0.06654402605957448, 0.0834303126, 0.0605123341
0.000900, 0.019608439036956523, 0.0196658392, 0.0195652843, 0.05882615313043478, 0.0589947738, 0.0586979426
