time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000300, 0.012559416575, 0.012938994, 0.0119441086, 0.0376041939, 0.038748797, 0.035764683
0.000300, 0.01688587084375, 0.01704848, 0.0165995564, 0.050610107368750004, 0.0510983393, 0.0497620627
0.000320, 0.01099587790764706, 0.011846751, 0.00981064793, 0.032952372641176474, 0.0354835391, 0.0294575188
0.000320, 0.016926900100000003, 0.0170929283, 0.0166323893, 0.05075460429999999, 0.0512533672, 0.0498840399
0.000320, 0.015482768805882355, 0.0206384119, 0.0117956419, 0.04664694650588235, 0.0619787797, 0.0355472192
0.000320, 0.016930654970588238, 0.0171186104, 0.0166560095, 0.05076734305882352, 0.0513307266, 0.049959667
0.000300, 0.019347885274999997, 0.0208321307, 0.0174601153, 0.0579289598375, 0.0623549782, 0.0523583815
0.000300, 0.017110728068749997, 0.0172322728, 0.0168717299, 0.05130759021875, 0.0516763218, 0.0505946577
0.000300, 0.0176550555125, 0.0177289601, 0.0175529551, 0.052955408343749996, 0.0531736128, 0.0526566543
0.000300, 0.01697049535, 0.0173985492, 0.0161804166, 0.050833551212499994, 0.0521504357, 0.0484450236
