time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.171860, 0.0191733236671515, 0.0282289237, 0.0133663574, 0.05751532859669537, 0.0842482746, 0.040168751
0.171860, 0.01967827194897603, 0.028677607, 0.0138306273, 0.059029868010716774, 0.0855772495, 0.0415524393
0.171880, 0.01983580069584642, 0.0288327541, 0.0139975287, 0.05949866712675974, 0.0860391334, 0.042055022
0.171900, 0.019824582343089807, 0.0288419984, 0.0140470825, 0.05947088460643322, 0.086078167, 0.0422028042
0.171860, 0.019841450192436584, 0.0288625062, 0.0140309427, 0.059522366474680004, 0.0861510187, 0.0421567112
0.171920, 0.019888554888949632, 0.0288791638, 0.0140262898, 0.05966284940739794, 0.0861833543, 0.0421464108
0.171880, 0.01983665948268761, 0.0289067924, 0.0140363816, 0.05951082797575334, 0.0862699598, 0.0421823151
0.171860, 0.019933981525075632, 0.0289015211, 0.0140332207, 0.05979606244270421, 0.0862584859, 0.0421661958
0.171860, 0.01994511044100535, 0.0288951956, 0.0140355378, 0.05983212331887364, 0.0862383172, 0.0421693623
0.171840, 0.019905967862271615, 0.0288128089, 0.014043971, 0.0597162516264634, 0.0859957859, 0.0421962887
