time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
1.168160, 0.01662937471272749, 0.0254436117, 0.0104964674, 0.04985817107099248, 0.0759705827, 0.031401597
1.168120, 0.01760372469900012, 0.026197847, 0.0116979955, 0.05280735251742771, 0.078241244, 0.0351563282
1.168120, 0.01845386552783399, 0.0267720781, 0.0125748292, 0.05535778416452993, 0.0799662024, 0.0377828591
1.168100, 0.019031043080625278, 0.0271715336, 0.0131966062, 0.05709010859233127, 0.0811869279, 0.0396558158
1.168120, 0.019375130331580115, 0.0273813605, 0.0136084221, 0.058123433279014494, 0.0818053707, 0.0408926271
1.168140, 0.019392768848077318, 0.0273749661, 0.0136833321, 0.05817540352336666, 0.0817915052, 0.0411192961
1.168120, 0.019397060892747446, 0.0273690131, 0.0136828767, 0.05818730534622904, 0.0817720369, 0.0411174335
1.168060, 0.019400820500811586, 0.0273756329, 0.0136570018, 0.05819958073318095, 0.0817905068, 0.0410368294
1.168060, 0.019402565501225943, 0.027370749, 0.0136458185, 0.058203135303557973, 0.0817769468, 0.041010648
1.168120, 0.01939798628080538, 0.0273829568, 0.0136754178, 0.05819320692527094, 0.0818064809, 0.0410950184
