time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.181100, 0.019280682664542845, 0.028298106, 0.0134105589, 0.0578430500823984, 0.0844565779, 0.0403012671
0.181100, 0.01971983430019876, 0.0287206452, 0.0138524249, 0.05915539503044391, 0.0857295468, 0.0416212939
0.181100, 0.019845652053091873, 0.0288343541, 0.0140039269, 0.05953505765071775, 0.086080566, 0.0420770235
0.181100, 0.01990790776754638, 0.0288517829, 0.0140280528, 0.05972082839670938, 0.0860970095, 0.0421535447
0.181100, 0.01990725367095848, 0.02887474, 0.0140279848, 0.05972157177486749, 0.0861697644, 0.0421525277
0.181100, 0.0198468011388803, 0.0288798232, 0.0140300458, 0.05953671232345406, 0.086193122, 0.0421576165
0.181080, 0.019937620298685812, 0.0289021432, 0.0140282055, 0.05981149810590835, 0.0862570703, 0.0421528071
0.181100, 0.019859962960567582, 0.0289111771, 0.0139960311, 0.0595775413476811, 0.0862919465, 0.0420540199
0.181080, 0.019844405077482054, 0.0288201403, 0.0139968703, 0.05953063283641082, 0.0860144123, 0.0420563035
0.181100, 0.01976988055184408, 0.0287820492, 0.0140289273, 0.05930585633891342, 0.0859084055, 0.0421546884
