time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
1.077500, 0.017086463733456455, 0.0258389991, 0.0111752618, 0.05125513008741554, 0.0771699697, 0.0335875228
1.077460, 0.018079432868493152, 0.0265190788, 0.0122187715, 0.05423408761890338, 0.0791926384, 0.0367154591
1.077500, 0.018782387863146857, 0.0269444995, 0.0129787531, 0.05634356551227634, 0.08048217, 0.0390002355
1.077460, 0.0192615949652504, 0.0273046382, 0.0134872049, 0.057782235046822214, 0.0815697089, 0.0405303575
1.077480, 0.019424826907866358, 0.0273549259, 0.0137199303, 0.058271633095200004, 0.0817250833, 0.0412329547
1.077520, 0.01942548342195371, 0.0273567606, 0.0137029709, 0.05827348931092489, 0.0817241594, 0.0411773175
1.077460, 0.019421621010856812, 0.0273635797, 0.0136503996, 0.05826132577692951, 0.0817505643, 0.0410129763
1.077420, 0.019422069216047295, 0.0273796152, 0.013715867, 0.05826266995009281, 0.0817928538, 0.0412121154
1.077460, 0.01942475264801574, 0.0273910742, 0.0137036378, 0.05827103945011508, 0.0818294287, 0.0411745273
1.077440, 0.019426646843428066, 0.027366925, 0.0137111004, 0.05827545133517531, 0.0817652047, 0.0412035137
