time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000020, 0.017746183999999998, 0.0177491717, 0.0177431963, 0.0532477293, 0.0532552376, 0.053240221
0.000020, 0.0182237476, 0.0182348881, 0.0182126071, 0.05469537715, 0.0547304973, 0.054660257
0.000020, 0.0191303529, 0.0191365127, 0.0191241931, 0.057404518099999996, 0.0574228391, 0.0573861971
0.000020, 0.019431172849999997, 0.0194403119, 0.0194220338, 0.05830705915, 0.0583349802, 0.0582791381
0.000020, 0.0234375065, 0.0235088691, 0.0233661439, 0.0702121668, 0.0704107583, 0.0700135753
0.000020, 0.013075522150000001, 0.0131458258, 0.0130052185, 0.0392444134, 0.0394499861, 0.0390388407
0.000020, 0.0198065527, 0.0198143553, 0.0197987501, 0.05937205255, 0.0593986921, 0.059345413
0.000020, 0.0157055156, 0.0157105438, 0.0157004874, 0.047131651999999996, 0.0471469536, 0.0471163504
0.000020, 0.014527947650000001, 0.0145707801, 0.0144851152, 0.0435510073, 0.0436788611, 0.0434231535
0.000020, 0.02025526855, 0.0202628877, 0.0202476494, 0.0607711207, 0.0607933216, 0.0607489198
